element_type,osm_id,name,lat,lon,distance_m,cde_category,cde_label,tags_str,within_50m,within_100m,within_250m,within_500m
node,13624971228,,27.109971,57.0828905,197.5,unknown,Unknown / unclassified,,False,False,True,True
node,13624971229,,27.1099867,57.0828745,199.8,unknown,Unknown / unclassified,,False,False,True,True
node,13624971230,,27.1099809,57.0828591,200.6,unknown,Unknown / unclassified,,False,False,True,True
node,13624971231,,27.1099999,57.0828398,203.4,unknown,Unknown / unclassified,,False,False,True,True
node,13624971232,,27.1100785,57.0829372,201.3,unknown,Unknown / unclassified,,False,False,True,True
node,13624971233,,27.1100505,57.0829656,197.1,unknown,Unknown / unclassified,,False,False,True,True
node,13624971234,,27.1100338,57.082945,197.5,unknown,Unknown / unclassified,,False,False,True,True
node,13624971235,,27.1102257,57.0827528,225.8,unknown,Unknown / unclassified,,False,False,True,True
node,13624971236,,27.110184,57.0827011,226.8,unknown,Unknown / unclassified,,False,False,True,True
node,13624971237,,27.1102115,57.0826731,230.8,unknown,Unknown / unclassified,,False,False,True,True
node,13624971238,,27.1102008,57.0826598,231.1,unknown,Unknown / unclassified,,False,False,True,True
node,13624971239,,27.1102165,57.0826438,233.5,unknown,Unknown / unclassified,,False,False,True,True
node,13624971240,,27.1102107,57.0826284,234.3,unknown,Unknown / unclassified,,False,False,True,True
node,13624971241,,27.1102297,57.0826091,237.1,unknown,Unknown / unclassified,,False,False,True,True
node,13624971242,,27.1103082,57.0827065,235.2,unknown,Unknown / unclassified,,False,False,True,True
node,13624971243,,27.1102803,57.0827349,231.1,unknown,Unknown / unclassified,,False,False,True,True
