stage_key,stage_label,boundary_way_id,boundary_way_label,boundary_version,snapshot_timestamp,snapshot_timestamp_iso,boundary_area_sq_m,boundary_perimeter_m,element_type,osm_id,name,lat,lon,distance_to_boundary_centroid_m,building_tag,building_semantics,building_semantics_label,later_assignment,later_assignment_label,cde_category,tags_str,stage_rank
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485767425,,27.1075632,57.0844108,115.5,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,23
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485773076,,27.10743,57.0844611,129.5,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,24
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485773075,,27.1074075,57.0846469,131.5,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,25
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791937,,27.1073616,57.0842364,141.0,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,26
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485767426,,27.1072464,57.0847577,150.2,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,27
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485767427,,27.1073403,57.0851857,150.7,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,28
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485773074,,27.1071297,57.0851566,171.6,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,29
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791939,,27.1070091,57.084243,179.1,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,30
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1484791938,,27.1069772,57.0838716,192.9,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes; damage=significant; damage:event=Iran War 2026; damage:type=war,31
last_pre_strike,Last pre-strike,942760673,Sayyid al-Shuhada-Asif barracks area,2,2021-05-19 02:17:22+00:00,2021-05-19T02:17:22+00:00,84145.21344921648,1251.7230493326272,way,1485797302,,27.1070553,57.0836786,193.1,yes,generic_building,Generic building,outside_latest_barracks,Outside latest barracks,unknown,building=yes,32
