element_type,osm_id,name_pre,distance_m_pre,cde_category_pre,cde_label_pre,tags_pre,name_current,distance_m_current,cde_category_current,cde_label_current,tags_current,in_prestrike,in_current,status
node,8887132360,,255.9,unknown,Unknown / unclassified,,,255.9,unknown,Unknown / unclassified,,True,True,present_both
node,8906538400,,306.4,unknown,Unknown / unclassified,direction=both; traffic_calming=bump,,306.4,unknown,Unknown / unclassified,direction=both; traffic_calming=bump,True,True,present_both
node,10234655198,,466.7,unknown,Unknown / unclassified,,,466.7,unknown,Unknown / unclassified,,True,True,present_both
node,10234655200,,447.5,unknown,Unknown / unclassified,,,447.5,unknown,Unknown / unclassified,,True,True,present_both
node,10234655201,,484.3,unknown,Unknown / unclassified,,,484.3,unknown,Unknown / unclassified,,True,True,present_both
node,10234655286,,435.9,unknown,Unknown / unclassified,,,435.9,unknown,Unknown / unclassified,,True,True,present_both
node,10234655287,,364.6,unknown,Unknown / unclassified,,,364.6,unknown,Unknown / unclassified,,True,True,present_both
node,10234655288,,172.4,unknown,Unknown / unclassified,,,172.4,unknown,Unknown / unclassified,,True,True,present_both
node,10234655289,,180.8,unknown,Unknown / unclassified,,,180.8,unknown,Unknown / unclassified,,True,True,present_both
node,10234655290,,297.8,unknown,Unknown / unclassified,,,297.8,unknown,Unknown / unclassified,,True,True,present_both
node,10234655291,,454.5,unknown,Unknown / unclassified,,,454.5,unknown,Unknown / unclassified,,True,True,present_both
node,10234655788,,362.1,unknown,Unknown / unclassified,,,362.1,unknown,Unknown / unclassified,,True,True,present_both
node,10234655789,,155.8,unknown,Unknown / unclassified,,,155.8,unknown,Unknown / unclassified,,True,True,present_both
node,10234655790,,456.9,unknown,Unknown / unclassified,,,456.9,unknown,Unknown / unclassified,,True,True,present_both
node,10301119067,,496.9,unknown,Unknown / unclassified,,,496.9,unknown,Unknown / unclassified,,True,True,present_both
node,10301119068,,480.4,unknown,Unknown / unclassified,,,480.4,unknown,Unknown / unclassified,,True,True,present_both
node,10721934479,,325.0,unknown,Unknown / unclassified,,,325.0,unknown,Unknown / unclassified,,True,True,present_both
node,10816078297,سوپرمارکت مالک حسن پور,457.6,civilian_general,Civilian general,name=سوپرمارکت مالک حسن پور; shop=convenience,سوپرمارکت مالک حسن پور,457.6,civilian_general,Civilian general,name=سوپرمارکت مالک حسن پور; shop=convenience,True,True,present_both
node,11506030546,,489.1,unknown,Unknown / unclassified,,,489.1,unknown,Unknown / unclassified,,True,True,present_both
node,11506030547,,448.5,unknown,Unknown / unclassified,,,448.5,unknown,Unknown / unclassified,,True,True,present_both
node,11506030548,,448.7,unknown,Unknown / unclassified,,,448.7,unknown,Unknown / unclassified,,True,True,present_both
node,11506030549,,477.2,unknown,Unknown / unclassified,,,477.2,unknown,Unknown / unclassified,,True,True,present_both
node,11506030550,,480.3,unknown,Unknown / unclassified,,,480.3,unknown,Unknown / unclassified,,True,True,present_both
node,11506030551,,491.4,unknown,Unknown / unclassified,,,491.4,unknown,Unknown / unclassified,,True,True,present_both
node,11506030552,,474.6,unknown,Unknown / unclassified,,,474.6,unknown,Unknown / unclassified,,True,True,present_both
node,11506030553,,379.4,unknown,Unknown / unclassified,,,379.4,unknown,Unknown / unclassified,,True,True,present_both
node,11506030554,,294.4,unknown,Unknown / unclassified,,,294.4,unknown,Unknown / unclassified,,True,True,present_both
node,11506030555,,323.4,unknown,Unknown / unclassified,,,323.4,unknown,Unknown / unclassified,,True,True,present_both
node,11506030556,,366.1,unknown,Unknown / unclassified,,,366.1,unknown,Unknown / unclassified,,True,True,present_both
node,11506030557,,374.3,unknown,Unknown / unclassified,,,374.3,unknown,Unknown / unclassified,,True,True,present_both
node,11506030558,,451.5,unknown,Unknown / unclassified,,,451.5,unknown,Unknown / unclassified,,True,True,present_both
node,11506030559,,482.9,unknown,Unknown / unclassified,,,482.9,unknown,Unknown / unclassified,,True,True,present_both
node,11506030560,,493.3,unknown,Unknown / unclassified,,,493.3,unknown,Unknown / unclassified,,True,True,present_both
node,11506030561,,326.3,unknown,Unknown / unclassified,,,326.3,unknown,Unknown / unclassified,,True,True,present_both
node,11506030562,,304.7,unknown,Unknown / unclassified,,,304.7,unknown,Unknown / unclassified,,True,True,present_both
node,11506030563,,301.1,unknown,Unknown / unclassified,,,301.1,unknown,Unknown / unclassified,,True,True,present_both
node,11506030564,,297.8,unknown,Unknown / unclassified,,,297.8,unknown,Unknown / unclassified,,True,True,present_both
node,11506030565,,298.2,unknown,Unknown / unclassified,,,298.2,unknown,Unknown / unclassified,,True,True,present_both
node,11506030566,,282.2,unknown,Unknown / unclassified,,,282.2,unknown,Unknown / unclassified,,True,True,present_both
